Date,OOS_Equity,OOS_DailyPnL,Window,n_pairs,OOS_Equity_Chained
2026-02-02,500267.0886272634,335.5817779484787,3,14,511814.16125591216
2026-02-03,496535.3626304553,-3731.7259968080907,3,14,508082.43525910407
2026-02-04,493989.5351940574,-2545.8274363979,3,14,505536.60782270617
2026-02-05,496889.1085172059,2899.5733231485356,3,14,508436.1811458547
2026-02-06,500530.7053665209,3641.596849314985,3,14,512077.7779951697
2026-02-09,501110.6344175491,579.9290510282153,3,14,512657.7070461979
2026-02-10,501797.2218826825,686.5874651334016,3,14,513344.2945113313
2026-02-11,497314.8342561388,-4482.387626543699,3,14,508861.9068847876
2026-02-12,494460.0018425088,-2854.832413630036,3,14,506007.07447115757
2026-02-13,488491.2688837169,-5968.732958791894,3,14,500038.3415123657
2026-02-17,488710.0457330318,218.77684931491967,3,14,500257.1183616806
2026-02-18,489524.3325823469,814.2868493151036,3,14,501071.4052109957
2026-02-19,489197.3694316619,-326.9631506850128,3,14,500744.4420603107
2026-02-20,490236.5162809769,1039.1468493149732,3,14,501783.58890962566
2026-02-23,490168.023130292,-68.49315068486612,3,14,501715.0957589408
2026-02-24,489911.019979607,-257.00315068499185,3,14,501458.0926082558
2026-02-25,489987.648942869,76.62896326195914,3,14,501534.72157151776
2026-02-26,489919.1557921841,-68.49315068486612,3,14,501466.2284208329
2026-02-27,490228.742641499,309.58684931485914,3,14,501775.81527014775
2026-03-02,491677.3594908143,1448.6168493153527,3,14,503224.4321194631
2026-03-03,492163.8063401292,486.44684931484517,3,14,503710.87896877795
2026-03-04,491981.0131894442,-182.7931506849709,3,14,503528.085818093
2026-03-05,491494.2000387592,-486.8131506849895,3,14,503041.272667408
2026-03-09,499931.506849315,-68.49315068498254,4,14,503041.272667408
2026-03-10,499863.01369863,-68.49315068504075,4,14,502972.77951672295
2026-03-11,500181.5983287056,318.5846300756093,4,14,503291.36414679856
2026-03-12,499796.784918329,-384.81341037660604,4,14,502906.55073642195
2026-03-13,498704.0843573386,-1092.7005609903717,4,14,501813.8501754316
2026-03-16,498944.6782520373,240.5938946987153,4,14,502054.4440701303
2026-03-17,500552.6884898284,1608.0102377910516,4,14,503662.45430792135
2026-03-18,499477.4648309971,-1075.2236588312662,4,14,502587.2306490901
2026-03-19,498872.5316803119,-604.9331506852177,4,14,501982.29749840486
2026-03-20,498886.6343544842,14.102674172318075,4,14,501996.4001725772
2026-03-23,497685.9750967243,-1200.6592577599222,4,14,500795.74091481726
2026-03-24,496860.3919460394,-825.5831506848917,4,14,499970.15776413237
2026-03-25,497538.6061724082,678.2142263688147,4,14,500648.3719905012
2026-03-26,497616.8176928421,78.21152043389156,4,14,500726.5835109351
2026-03-27,497292.684542157,-324.1331506851129,4,14,500402.45036024996
2026-03-30,504576.6613914723,7283.976849315339,4,14,507686.4272095653
2026-03-31,502772.308240787,-1804.3531506853178,4,14,505882.07405888
2026-04-01,502634.0850901024,-138.22315068461467,4,14,505743.85090819537
2026-04-02,503323.3841742445,689.2990841420833,4,14,506433.14999233745
2026-04-06,502959.8610235595,-363.52315068495227,4,14,506069.6268416525
2026-04-07,501311.1578728744,-1648.70315068512,4,14,504420.9236909674
2026-04-08,500446.4047221898,-864.7531506845844,4,14,503556.1705402828
2026-04-09,496151.7215715043,-4294.683150685509,4,14,499261.4873895973
2026-04-10,488220.2084208193,-7931.513150685001,4,14,491329.9742389123
2026-04-14,499931.5068493151,-68.49315068492433,5,14,491329.9742389123
2026-04-15,494027.4091782897,-5904.097671025374,5,14,485425.8765678869
2026-04-16,495806.8683913767,1779.459213086986,5,14,487205.3357809739
2026-04-17,492406.4227134997,-3400.4456778769963,5,14,483804.8901030969
2026-04-20,490849.9631244568,-1556.4595890428755,5,14,482248.430514054
2026-04-21,492014.6937151505,1164.7305906937108,5,14,483413.16110474773
2026-04-22,492549.4056645446,534.7119493940845,5,14,483947.8730541418
2026-04-23,499927.3732543504,7377.967589805776,5,14,491325.8406439476
2026-04-24,499858.8801036654,-68.49315068498254,5,14,491257.3474932626
2026-04-27,499790.3869529803,-68.49315068509895,5,14,491188.8543425775
2026-04-28,500182.4059841854,392.01903120509814,5,14,491580.8733737826
2026-04-29,501284.4332081841,1102.0272239986807,5,14,492682.9005977813
2026-04-30,501999.5486265168,715.1154183326871,5,14,493398.016016114
2026-05-01,505057.2136272273,3057.66500071052,5,14,496455.6810168245
2026-05-04,505705.8598177056,648.6461904782918,5,14,497104.3272073028
2026-05-05,505003.2543936718,-702.6054240337689,5,14,496401.721783269
2026-05-06,505139.6353786156,136.38098494376754,5,14,496538.1027682128
2026-05-07,503754.2469474524,-1385.3884311631555,5,14,495152.71433704963
2026-05-08,502851.9029609537,-902.3439864987158,5,14,494250.3703505509
2026-05-11,502228.2139676174,-623.6889933362836,5,14,493626.68135721463
2026-05-12,502205.7063056297,-22.507661987736356,5,14,493604.1736952269
2026-05-13,501098.8436150848,-1106.8626905448618,5,14,492497.31100468204
2026-05-14,500155.5825253763,-943.2610897085397,5,14,491554.0499149735
2026-05-15,499126.2493746914,-1029.3331506848917,5,14,490524.7167642886
2026-05-19,499931.506849315,-68.49315068498254,6,14,490524.7167642886
2026-05-20,500775.7813210075,844.2744716925081,6,14,491368.9912359811
2026-05-21,502996.3755145021,2220.5941934945877,6,14,493589.5854294757
2026-05-22,500013.1449309919,-2983.230583510187,6,14,490606.3548459655
2026-05-26,499669.0159075544,-344.12902343750466,6,14,490262.225822528
2026-05-27,506288.4943093171,6619.478401762666,6,14,496881.7042242907
